jobCategoryPrimary,jobCategorySecondary
Accounting,Accounts Officers/Clerks
Administration & Office Support,Assistant
Advertising/Arts/Media,Agency Account Management
Banking & Financial Services,Account & Relationship Management
Call Centre & Customer Service,Collections
CEO & General Management,Board Appointments
Community Services,Aged & Disability Support
Construction,Contracts Management
Consulting & Strategy,Analyst
Design & Architecture,Architecture Drafting
Education & Training,Childcare & Outside School Hours Care
Engineering,Aerospace Engineering
Farming/Animals & Conservation,Agronomy & Farm Services
Government & Defence,Air Force
Healthcare & Medical,Ambulance/Paramedics
Hospitality & Tourism,Airlines
Human Resources & Recruitment,Consulting & Generalist HR
Information & Communication Technology,Architects
Insurance & Superannuation,Actuarial
Legal,Banking & Finance Law
Manufacturing/Transport & Logistics,Analysis & Reporting
Marketing & Communications,Brand Management
Mining/Resources & Energy,Analysis & Reporting
Real Estate & Property,Administration
Retail & Consumer Products,Buying
Sales,Account & Relationship Management
Science & Technology,Biological & Biomedical Sciences
Self Employment,Self Employment
Sport & Recreation,Coaching & Instruction
